source_class,source_file,dep_fqn,dep_simple,dep_category,rel_type,is_internal_target
AbsoluteIonizationCrossSection,AbsoluteIonizationCrossSection.java,java.util.Arrays,Arrays,java_stdlib,import,False
AbsoluteIonizationCrossSection,AbsoluteIonizationCrossSection.java,java.util.List,List,java_stdlib,import,False
AbsoluteIonizationCrossSection,AbsoluteIonizationCrossSection.java,gov.nist.microanalysis.Utility.CSVReader,CSVReader,nist_utility,import,False
AbsoluteIonizationCrossSection,AbsoluteIonizationCrossSection.java,gov.nist.microanalysis.Utility.Math2,Math2,nist_utility,import,False
AbsoluteIonizationCrossSection,AbsoluteIonizationCrossSection.java,IonizationCrossSection,IonizationCrossSection,internal,extends,True
AbsorptionCorrection,AbsorptionCorrection.java,java.util.Arrays,Arrays,java_stdlib,import,False
AbsorptionCorrection,AbsorptionCorrection.java,java.util.List,List,java_stdlib,import,False
AbsorptionCorrection,AbsorptionCorrection.java,gov.nist.microanalysis.Utility.Math2,Math2,nist_utility,import,False
AbsorptionCorrection,AbsorptionCorrection.java,AlgorithmClass,AlgorithmClass,internal,extends,True
AlgorithmClass,AlgorithmClass.java,java.util.List,List,java_stdlib,import,False
AlgorithmClass,AlgorithmClass.java,AlgorithmUser,AlgorithmUser,internal,extends,True
AlgorithmClass,AlgorithmClass.java,Comparable,Comparable,unknown,implements,False
AlgorithmUser,AlgorithmUser.java,java.io.IOException,IOException,java_stdlib,import,False
AlgorithmUser,AlgorithmUser.java,java.io.Writer,Writer,java_stdlib,import,False
AlgorithmUser,AlgorithmUser.java,java.util.Collection,Collection,java_stdlib,import,False
Armstrong1982Base,Armstrong1982Base.java,gov.nist.microanalysis.EPQLibrary.CorrectionAlgorithm.ZAFCorrectionAlgorithm,ZAFCorrectionAlgorithm,internal,import,False
Armstrong1982Base,Armstrong1982Base.java,gov.nist.microanalysis.EPQLibrary.LitReference.Author,Author,internal,import,False
Armstrong1982Base,Armstrong1982Base.java,gov.nist.microanalysis.Utility.Math2,Math2,nist_utility,import,False
Armstrong1982Base,Armstrong1982Base.java,ZAFCorrectionAlgorithm,ZAFCorrectionAlgorithm,unknown,extends,False
Armstrong1982Correction,Armstrong1982Correction.java,gov.nist.microanalysis.Utility.Math2,Math2,nist_utility,import,False
Armstrong1982Correction,Armstrong1982Correction.java,Armstrong1982Base,Armstrong1982Base,internal,extends,True
Armstrong1982ParticleCorrection,Armstrong1982ParticleCorrection.java,gov.nist.microanalysis.Utility.HalfUpFormat,HalfUpFormat,nist_utility,import,False
Armstrong1982ParticleCorrection,Armstrong1982ParticleCorrection.java,gov.nist.microanalysis.Utility.Integrator,Integrator,nist_utility,import,False
Armstrong1982ParticleCorrection,Armstrong1982ParticleCorrection.java,gov.nist.microanalysis.Utility.Math2,Math2,nist_utility,import,False
Armstrong1982ParticleCorrection,Armstrong1982ParticleCorrection.java,java.text.NumberFormat,NumberFormat,java_stdlib,import,False
Armstrong1982ParticleCorrection,Armstrong1982ParticleCorrection.java,Armstrong1982Base,Armstrong1982Base,internal,extends,True
Armstrong1982ParticleMC,Armstrong1982ParticleMC.java,gov.nist.microanalysis.NISTMonte.MonteCarloSS.Shape,Shape,nist_nistmonte,import,False
Armstrong1982ParticleMC,Armstrong1982ParticleMC.java,gov.nist.microanalysis.Utility.MCIntegrator,MCIntegrator,nist_utility,import,False
Armstrong1982ParticleMC,Armstrong1982ParticleMC.java,gov.nist.microanalysis.Utility.Math2,Math2,nist_utility,import,False
Armstrong1982ParticleMC,Armstrong1982ParticleMC.java,Armstrong1982Base,Armstrong1982Base,internal,extends,True
AtomicShell,AtomicShell.java,gov.nist.microanalysis.Utility.CSVReader,CSVReader,nist_utility,import,False
AtomicShell,AtomicShell.java,Comparable,Comparable,unknown,implements,False
AtomicShell,AtomicShell.java,Cloneable,Cloneable,unknown,implements,False
AverageSpectrum,AverageSpectrum.java,java.util.Arrays,Arrays,java_stdlib,import,False
AverageSpectrum,AverageSpectrum.java,java.util.Iterator,Iterator,java_stdlib,import,False
AverageSpectrum,AverageSpectrum.java,gov.nist.microanalysis.Utility.Math2,Math2,nist_utility,import,False
AverageSpectrum,AverageSpectrum.java,BaseSpectrum,BaseSpectrum,internal,extends,True
BackscatterCoefficient,BackscatterCoefficient.java,java.util.Arrays,Arrays,java_stdlib,import,False
BackscatterCoefficient,BackscatterCoefficient.java,java.util.List,List,java_stdlib,import,False
BackscatterCoefficient,BackscatterCoefficient.java,AlgorithmClass,AlgorithmClass,internal,extends,True
BackscatterFactor,BackscatterFactor.java,java.text.NumberFormat,NumberFormat,java_stdlib,import,False
BackscatterFactor,BackscatterFactor.java,java.util.Arrays,Arrays,java_stdlib,import,False
BackscatterFactor,BackscatterFactor.java,java.util.List,List,java_stdlib,import,False
BackscatterFactor,BackscatterFactor.java,gov.nist.microanalysis.Utility.HalfUpFormat,HalfUpFormat,nist_utility,import,False
BackscatterFactor,BackscatterFactor.java,AlgorithmClass,AlgorithmClass,internal,extends,True
BadgerFilmExport,BadgerFilmExport.java,java.io.File,File,java_stdlib,import,False
BadgerFilmExport,BadgerFilmExport.java,java.io.FileNotFoundException,FileNotFoundException,java_stdlib,import,False
BadgerFilmExport,BadgerFilmExport.java,java.io.PrintWriter,PrintWriter,java_stdlib,import,False
BadgerFilmExport,BadgerFilmExport.java,java.io.UnsupportedEncodingException,UnsupportedEncodingException,java_stdlib,import,False
BadgerFilmExport,BadgerFilmExport.java,java.util.ArrayList,ArrayList,java_stdlib,import,False
BadgerFilmExport,BadgerFilmExport.java,java.util.Collection,Collection,java_stdlib,import,False
BadgerFilmExport,BadgerFilmExport.java,java.util.HashMap,HashMap,java_stdlib,import,False
BadgerFilmExport,BadgerFilmExport.java,java.util.HashSet,HashSet,java_stdlib,import,False
BadgerFilmExport,BadgerFilmExport.java,java.util.Iterator,Iterator,java_stdlib,import,False
BadgerFilmExport,BadgerFilmExport.java,java.util.List,List,java_stdlib,import,False
BadgerFilmExport,BadgerFilmExport.java,java.util.Map,Map,java_stdlib,import,False
BadgerFilmExport,BadgerFilmExport.java,java.util.Set,Set,java_stdlib,import,False
BaseSpectrum,BaseSpectrum.java,java.io.InputStream,InputStream,java_stdlib,import,False
BaseSpectrum,BaseSpectrum.java,java.io.OutputStream,OutputStream,java_stdlib,import,False
BaseSpectrum,BaseSpectrum.java,java.util.Arrays,Arrays,java_stdlib,import,False
BaseSpectrum,BaseSpectrum.java,gov.nist.microanalysis.EPQTools.EPQXStream,EPQXStream,nist_epqtools,import,False
BaseSpectrum,BaseSpectrum.java,ISpectrumData,ISpectrumData,internal,implements,True
BetheElectronEnergyLoss,BetheElectronEnergyLoss.java,java.util.Arrays,Arrays,java_stdlib,import,False
BetheElectronEnergyLoss,BetheElectronEnergyLoss.java,java.util.List,List,java_stdlib,import,False
